Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time
1.0,1.0,30.0,148.6059272289276,0.07886649668216705,0.9848812818527222,0.0,38239.0,0.0,587.0,,
2.0,1.0,30.0,170.82301497459412,0.0672878846526146,0.9874826073646545,0.0,38340.0,0.0,486.0,,
3.0,1.0,30.0,167.36114025115967,0.07783710956573486,0.9851130843162537,0.0,38248.0,0.0,578.0,,
4.0,1.0,30.0,186.43389415740967,0.0789814367890358,0.9847782254219055,0.0,38235.0,0.0,591.0,,
5.0,1.0,30.0,216.14075803756714,0.5580958127975464,0.9858342409133911,0.0,38276.0,1.0,549.0,,
,,,,,,,,,,0.007915973663330078,896.6060171127319
1.0,2.0,30.0,252.92293787002563,0.0767427533864975,0.9853448867797852,0.0,38257.0,0.0,569.0,,
2.0,2.0,30.0,181.3416211605072,0.07516634464263916,0.9856539368629456,0.0,38269.0,0.0,557.0,,
3.0,2.0,30.0,186.38876724243164,0.07114241272211075,0.9848555326461792,0.0,38238.0,0.0,588.0,,
4.0,2.0,30.0,220.5028109550476,0.07505788654088974,0.9857311844825745,0.0,38272.0,0.0,554.0,,
5.0,2.0,30.0,198.87681889533997,0.0756339505314827,0.9855509400367737,0.0,38265.0,0.0,561.0,,
,,,,,,,,,,0.001971006393432617,1046.3758039474487
1.0,3.0,30.0,216.59616017341614,0.07870777696371078,0.9848039746284485,0.0,38236.0,0.0,590.0,,
2.0,3.0,30.0,285.9667489528656,0.08006834238767624,0.9848297238349915,0.0,38237.0,0.0,589.0,,
3.0,3.0,30.0,180.13396191596985,0.06452111899852753,0.986400842666626,0.0,38298.0,0.0,528.0,,
4.0,3.0,30.0,183.37531280517578,0.07799332588911057,0.9852160811424255,0.0,38252.0,0.0,574.0,,
5.0,3.0,30.0,226.79072999954224,0.07910378277301788,0.9853448867797852,0.0,38257.0,0.0,569.0,,
,,,,,,,,,,0.0028772354125976562,1099.4940638542175
1.0,4.0,30.0,178.2678577899933,0.07719887048006058,0.985499382019043,0.0,38263.0,0.0,563.0,,
2.0,4.0,30.0,177.83451795578003,0.07722587138414383,0.9851645827293396,0.0,38250.0,0.0,576.0,,
3.0,4.0,30.0,240.47068905830383,0.07950443774461746,0.9848812818527222,0.0,38239.0,0.0,587.0,,
4.0,4.0,30.0,176.6932680606842,0.07046937197446823,0.9851645827293396,0.0,38250.0,0.0,576.0,,
5.0,4.0,30.0,173.45072388648987,0.07282872498035431,0.9865553975105286,0.0,38304.0,0.0,522.0,,
,,,,,,,,,,0.0026350021362304688,952.7026898860931
1.0,5.0,30.0,177.07336497306824,0.08170562982559204,0.9859887957572937,0.0,38282.0,1.0,543.0,,
2.0,5.0,30.0,176.4768579006195,0.0695255920290947,0.9850873351097107,0.0,38247.0,0.0,579.0,,
3.0,5.0,30.0,175.96346426010132,0.07828833907842636,0.9855509400367737,0.0,38265.0,0.0,561.0,,
4.0,5.0,30.0,175.02213215827942,0.07210344821214676,0.986375093460083,0.0,38297.0,0.0,529.0,,
5.0,5.0,30.0,176.9974341392517,0.08188658952713013,0.9844176769256592,0.0,38221.0,0.0,605.0,,
,,,,,,,,,,0.002456188201904297,887.3479056358337
1.0,6.0,30.0,247.38524794578552,0.053478460758924484,0.9856281876564026,0.0,38268.0,0.0,558.0,,
2.0,6.0,30.0,297.72774505615234,0.07510733604431152,0.9857054352760315,0.0,38271.0,0.0,555.0,,
3.0,6.0,30.0,206.97083497047424,0.0811607614159584,0.9842116236686707,0.0,38213.0,0.0,613.0,,
4.0,6.0,30.0,227.33531308174133,0.07704424113035202,0.9852160811424255,0.0,38252.0,0.0,574.0,,
5.0,6.0,30.0,224.1152229309082,0.07678930461406708,0.9855766892433167,0.0,38266.0,0.0,560.0,,
,,,,,,,,,,0.008038043975830078,1210.997752904892
1.0,7.0,30.0,211.18107533454895,0.07646626979112625,0.9853448867797852,0.0,38257.0,0.0,569.0,,
2.0,7.0,30.0,175.3429319858551,0.07837478071451187,0.9849327802658081,0.0,38241.0,0.0,585.0,,
3.0,7.0,30.0,185.69732093811035,0.07644397765398026,0.9853706359863281,0.0,38258.0,0.0,568.0,,
4.0,7.0,30.0,222.7476179599762,0.07621713727712631,0.9857311844825745,0.0,38272.0,0.0,554.0,,
5.0,7.0,30.0,181.86696195602417,0.07983040809631348,0.985010027885437,0.0,38244.0,0.0,582.0,,
,,,,,,,,,,0.0022058486938476562,983.449156999588
1.0,8.0,30.0,257.4853370189667,0.0775170549750328,0.9850873351097107,0.0,38247.0,0.0,579.0,,
2.0,8.0,30.0,211.51134490966797,0.07768802344799042,0.9852160811424255,0.0,38252.0,0.0,574.0,,
3.0,8.0,30.0,172.96050596237183,0.07377519458532333,0.9859887957572937,0.0,38282.0,0.0,544.0,,
4.0,8.0,30.0,195.71898126602173,0.07269097864627838,0.9843661189079285,0.0,38219.0,0.0,607.0,,
5.0,8.0,30.0,212.43146014213562,0.0751718208193779,0.985937237739563,0.0,38280.0,0.0,546.0,,
,,,,,,,,,,0.0022690296173095703,1056.1932640075684
1.0,9.0,30.0,175.6874508857727,0.07232090830802917,0.9866068959236145,0.0,38306.0,0.0,520.0,,
2.0,9.0,30.0,199.05437779426575,0.07842640578746796,0.985010027885437,0.0,38244.0,0.0,582.0,,
3.0,9.0,30.0,173.66417598724365,0.07750775665044785,0.9851645827293396,0.0,38250.0,0.0,576.0,,
4.0,9.0,30.0,189.7881669998169,0.07335438579320908,0.9841858744621277,0.0,38212.0,0.0,614.0,,
5.0,9.0,30.0,249.8392150402069,0.07382188737392426,0.985962986946106,0.0,38281.0,0.0,545.0,,
,,,,,,,,,,0.006394863128662109,994.8205728530884
1.0,10.0,30.0,198.44580912590027,0.0774308443069458,0.9860145449638367,0.0,38283.0,0.0,543.0,,
2.0,10.0,30.0,224.94779801368713,0.07580461353063583,0.9857054352760315,0.0,38271.0,0.0,555.0,,
3.0,10.0,30.0,204.53234195709229,0.07590620964765549,0.9854736328125,0.0,38262.0,0.0,564.0,,
4.0,10.0,30.0,218.21507000923157,0.0755280926823616,0.9857054352760315,0.0,38271.0,0.0,555.0,,
5.0,10.0,30.0,260.2846169471741,0.07313308119773865,0.9844691753387451,0.0,38223.0,0.0,603.0,,
,,,,,,,,,,0.0028328895568847656,1112.6562201976776
